genotype,pop,timepoint,replicate,control_ave,n_adults,productivity_normalised
mX,3,5,26,20,5,0.25
mX,3,5,27,20,0,0
mX,3,5,28,20,38,1.9
mX,3,5,29,20,28,1.4
mX,3,5,30,20,32,1.6
mX,4,1,1,30.133333333333333,11,0.36504424778761063
mX,4,1,2,30.133333333333333,41,1.3606194690265487
mX,4,1,3,30.133333333333333,32,1.0619469026548674
mX,4,1,4,30.133333333333333,0,0
mX,4,1,5,30.133333333333333,36,1.1946902654867257
mX,4,1,6,30.133333333333333,12,0.39823008849557523
mX,4,1,7,30.133333333333333,17,0.5641592920353983
mX,4,1,8,30.133333333333333,21,0.6969026548672567
mX,4,1,9,30.133333333333333,17,0.5641592920353983
mX,4,1,10,30.133333333333333,31,1.0287610619469028
mX,4,1,11,30.133333333333333,22,0.7300884955752213
mX,4,1,12,30.133333333333333,32,1.0619469026548674
mX,4,1,13,30.133333333333333,23,0.7632743362831859
mX,4,1,14,30.133333333333333,38,1.261061946902655
mX,4,1,15,30.133333333333333,26,0.8628318584070797
mX,4,1,16,30.133333333333333,29,0.9623893805309734
mX,4,1,17,30.133333333333333,44,1.4601769911504425
mX,4,1,18,30.133333333333333,10,0.33185840707964603
mX,4,1,19,30.133333333333333,32,1.0619469026548674
mX,4,1,20,30.133333333333333,14,0.4646017699115044
mX,4,1,21,30.133333333333333,0,0
mX,4,1,22,30.133333333333333,38,1.261061946902655
mX,4,1,23,30.133333333333333,8,0.26548672566371684
mX,4,1,24,30.133333333333333,41,1.3606194690265487
mX,4,1,25,30.133333333333333,9,0.29867256637168144
mX,4,1,26,30.133333333333333,0,0
mX,4,1,27,30.133333333333333,40,1.3274336283185841
mX,4,1,28,30.133333333333333,0,0
mX,4,1,29,30.133333333333333,17,0.5641592920353983
mX,4,1,30,30.133333333333333,49,1.6261061946902655
mX,4,2,1,13.785714285714285,4,0.2901554404145078
mX,4,2,2,13.785714285714285,10,0.7253886010362695
mX,4,2,3,13.785714285714285,0,0
mX,4,2,4,13.785714285714285,8,0.5803108808290156
mX,4,2,5,13.785714285714285,14,1.0155440414507773
mX,4,2,6,13.785714285714285,15,1.0880829015544042
mX,4,2,7,13.785714285714285,7,0.5077720207253886
mX,4,2,8,13.785714285714285,10,0.7253886010362695
mX,4,2,9,13.785714285714285,12,0.8704663212435234
mX,4,2,10,13.785714285714285,0,0
mX,4,2,11,13.785714285714285,0,0
mX,4,2,12,13.785714285714285,6,0.4352331606217617
mX,4,2,13,13.785714285714285,5,0.3626943005181347
mX,4,2,14,13.785714285714285,0,0
mX,4,2,15,13.785714285714285,0,0
mX,4,2,16,13.785714285714285,1,0.07253886010362695
mX,4,2,17,13.785714285714285,10,0.7253886010362695
mX,4,2,18,13.785714285714285,3,0.21761658031088085
mX,4,2,19,13.785714285714285,0,0
mX,4,2,20,13.785714285714285,0,0
